City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
131,Taltal,CL,2022-01-19 00:15:32,-25.4,-70.4833,68.16,77,20,5.77
132,Bairiki,KI,2022-01-19 00:15:32,1.3292,172.9752,86.0,74,75,6.91
133,Georgetown,MY,2022-01-19 00:15:05,5.4112,100.3354,79.9,77,20,0.0
134,Nampula,MZ,2022-01-19 00:15:33,-15.1165,39.2666,73.35,94,75,8.05
135,Cayenne,GF,2022-01-19 00:15:16,4.9333,-52.3333,79.09,87,75,3.0
136,Nome,US,2022-01-19 00:15:34,64.5011,-165.4064,-18.33,69,0,0.0
137,Nizwa,OM,2022-01-19 00:15:34,22.9333,57.5333,68.27,68,27,1.63
138,Qaanaaq,GL,2022-01-19 00:15:34,77.484,-69.3632,-12.95,61,31,10.2
139,Arraial Do Cabo,BR,2022-01-19 00:15:35,-22.9661,-42.0278,76.96,94,0,17.27
140,Ponta Do Sol,PT,2022-01-19 00:15:35,32.6667,-17.1,67.01,92,97,15.84
141,Makakilo City,US,2022-01-19 00:15:36,21.3469,-158.0858,80.62,61,0,8.05
142,Saint George,US,2022-01-19 00:15:05,37.1041,-113.5841,56.32,39,0,1.99
143,Xiaoshi,CN,2022-01-19 00:15:36,41.2971,124.1209,5.02,87,97,4.88
144,Henties Bay,NA,2022-01-19 00:16:37,-22.116,14.2845,68.86,92,94,1.1
145,Cascais,PT,2022-01-19 00:16:37,38.6979,-9.4215,53.06,60,1,1.99
146,San Onofre,CO,2022-01-19 00:16:38,9.7359,-75.5263,78.57,78,77,10.2
147,Vostok,RU,2022-01-19 00:16:38,46.4856,135.8833,-5.53,99,100,0.43
148,Uzhur,RU,2022-01-19 00:16:39,55.3036,89.8339,-2.25,98,29,4.07
149,Shimoda,JP,2022-01-19 00:16:39,34.6667,138.95,43.16,66,100,11.56
150,Diamantina,BR,2022-01-19 00:16:39,-18.2494,-43.6003,63.95,91,25,3.91
151,Cherskiy,RU,2022-01-19 00:16:40,68.75,161.3,-47.09,100,88,4.38
152,Carnot,CF,2022-01-19 00:16:40,4.9409,15.8665,65.97,33,45,3.0
153,Bakel,SN,2022-01-19 00:16:41,14.905,-12.4568,77.09,10,3,11.41
154,Codrington,AU,2022-01-19 00:16:41,-38.2667,141.9667,70.68,62,65,18.25
155,Udachnyy,RU,2022-01-19 00:16:42,66.4167,112.4,-12.55,99,84,7.99
156,Vila Velha,BR,2022-01-19 00:15:01,-20.3297,-40.2925,78.75,88,0,5.01
157,Poum,NC,2022-01-19 00:16:42,-20.2333,164.0167,80.89,67,29,3.51
158,Huainan,CN,2022-01-19 00:16:43,32.6264,116.9969,40.75,88,0,3.8
159,Souillac,MU,2022-01-19 00:16:43,-20.5167,57.5167,81.36,94,40,3.44
160,Plettenberg Bay,ZA,2022-01-19 00:16:44,-34.0527,23.3716,64.71,82,100,8.16
161,Srednekolymsk,RU,2022-01-19 00:16:44,67.45,153.6833,-45.13,100,70,3.71
162,New Norfolk,AU,2022-01-19 00:16:44,-42.7826,147.0587,70.66,38,9,4.0
163,Emerald,AU,2022-01-19 00:12:14,-23.5333,148.1667,85.33,54,88,12.28
164,Amahai,ID,2022-01-19 00:16:45,-3.3333,128.9167,81.28,76,100,3.04
165,Sandviken,SE,2022-01-19 00:16:45,60.6167,16.7667,41.16,80,100,9.31
166,Grindavik,IS,2022-01-19 00:16:46,63.8424,-22.4338,32.47,64,75,23.02
167,Wellington,NZ,2022-01-19 00:14:38,-41.2866,174.7756,73.06,69,100,27.63
168,Lasa,IT,2022-01-19 00:16:46,46.6166,10.7002,42.26,62,1,1.36
169,Kurchum,KZ,2022-01-19 00:16:47,48.5722,83.6542,13.57,97,96,2.42
170,Ilo,PE,2022-01-19 00:16:47,-17.6394,-71.3375,71.37,82,25,4.97
171,Salalah,OM,2022-01-19 00:16:48,17.0151,54.0924,69.89,73,0,4.61
172,Yongan,CN,2022-01-19 00:16:48,39.6957,113.6871,18.97,56,27,0.92
173,Kozulka,UA,2022-01-19 00:16:48,50.0351,23.797,25.09,82,71,10.56
174,Camargo,MX,2022-01-19 00:16:49,27.6667,-105.1667,71.85,19,19,12.37
175,Yellowknife,CA,2022-01-19 00:16:49,62.456,-114.3525,-30.71,79,20,0.0
176,Ayagoz,KZ,2022-01-19 00:16:49,47.9714,80.4392,13.78,94,97,9.53
177,Barrow,US,2022-01-19 00:16:50,71.2906,-156.7887,-11.18,70,100,13.8
178,Ancud,CL,2022-01-19 00:16:50,-41.8697,-73.8203,62.13,66,4,4.68
179,Ukiah,US,2022-01-19 00:15:54,39.1502,-123.2078,62.44,55,0,0.0
180,Salta,AR,2022-01-19 00:15:40,-24.7859,-65.4117,68.59,92,75,1.99
181,Manosque,FR,2022-01-19 00:16:51,43.8288,5.7869,39.4,93,36,3.0
182,Kuusamo,FI,2022-01-19 00:16:52,65.9667,29.1833,26.64,100,100,11.5
183,Opuwo,NA,2022-01-19 00:16:52,-18.0607,13.84,65.7,57,96,1.32
184,Mogocha,RU,2022-01-19 00:16:53,53.7333,119.7667,-25.64,98,5,2.66
185,Fort Nelson,CA,2022-01-19 00:16:53,58.8053,-122.7002,-6.21,84,20,3.44
186,Warrington,GB,2022-01-19 00:16:53,53.3925,-2.5802,41.86,93,58,1.99
187,Chokurdakh,RU,2022-01-19 00:16:54,70.6333,147.9167,-37.97,99,53,6.22
188,Necochea,AR,2022-01-19 00:16:54,-38.5473,-58.7368,61.03,86,100,15.35
189,Kavieng,PG,2022-01-19 00:17:55,-2.5744,150.7967,82.47,80,100,9.84
190,Naze,JP,2022-01-19 00:17:55,28.3667,129.4833,56.32,61,87,8.77
191,Carutapera,BR,2022-01-19 00:17:55,-1.195,-46.02,75.49,94,92,4.79
192,Songea,TZ,2022-01-19 00:17:56,-10.6833,35.65,62.8,93,100,3.33
193,Havelock,US,2022-01-19 00:17:56,34.8791,-76.9013,41.95,77,0,0.0
194,Apatou,GF,2022-01-19 00:17:57,5.155,-54.3472,72.59,99,69,2.59
195,Saint-Joseph,RE,2022-01-19 00:17:57,-21.3667,55.6167,77.38,85,97,5.57
196,Narsaq,GL,2022-01-19 00:17:58,60.9167,-46.05,25.02,86,100,13.85
197,Mufulira,ZM,2022-01-19 00:17:58,-12.5498,28.2407,49.01,99,100,4.9
198,Nizhnevartovsk,RU,2022-01-19 00:17:59,60.9344,76.5531,15.82,92,100,13.42
199,Strasice,CZ,2022-01-19 00:17:59,49.7355,13.7576,33.85,100,10,1.01
200,Languyan,PH,2022-01-19 00:17:59,5.2618,120.0807,79.95,84,99,8.46
201,Batagay-Alyta,RU,2022-01-19 00:18:00,67.8006,130.4114,-26.73,73,51,3.89
202,Atbasar,KZ,2022-01-19 00:18:00,51.8,68.3333,-9.09,100,100,2.89
203,Oudtshoorn,ZA,2022-01-19 00:18:01,-33.5907,22.2014,61.16,71,54,5.86
204,Itarema,BR,2022-01-19 00:18:01,-2.9248,-39.9167,80.37,78,13,13.73
205,Vytegra,RU,2022-01-19 00:18:01,61.0064,36.4481,11.12,93,100,4.97
206,Deputatskiy,RU,2022-01-19 00:18:02,69.3,139.9,-26.16,81,56,4.81
207,Nokaneng,BW,2022-01-19 00:18:02,-19.6667,22.2667,70.2,80,25,4.14
208,Santa Maria,BR,2022-01-19 00:18:03,-29.6842,-53.8069,86.0,46,100,12.57
209,Saint-Philippe,RE,2022-01-19 00:18:03,-21.3585,55.7679,78.39,84,95,3.89
210,Nabire,ID,2022-01-19 00:18:03,-3.3667,135.4833,79.54,80,100,1.21
211,Pinehurst,US,2022-01-19 00:14:14,35.1954,-79.4695,42.96,64,0,0.0
212,Hamilton,US,2022-01-19 00:18:04,39.1834,-84.5333,37.58,76,100,3.0
213,Sambava,MG,2022-01-19 00:18:04,-14.2667,50.1667,76.48,90,98,4.74
214,Panacan,PH,2022-01-19 00:18:05,9.2463,118.4082,78.4,75,72,8.97
215,Thompson,CA,2022-01-19 00:18:05,55.7435,-97.8558,-14.64,70,0,11.5
216,Kurumkan,RU,2022-01-19 00:18:06,54.3,110.3,1.06,92,100,0.65
